,contracts,created_at,datadate,interest,type
0,167577,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,0.9181,long_open
1,145342,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,0.7963,short_open
2,1102415,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,0.6273,ls_turnover
3,550134,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,0.6261,long_turnover
4,552281,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,0.6285,short_turnover
0,147663,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,0.9273,long_open
1,126710,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,0.7957,short_open
2,488613,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,0.6814,ls_turnover
3,247254,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,0.6896,long_turnover
4,241359,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,0.6732,short_turnover
0,93076,2017-06-07 10:38:03.371,2015-02-06 00:00:00.000,0.8833,long_open
1,89800,2017-06-07 10:38:03.371,2015-02-06 00:00:00.000,0.8523,short_open
2,322377,2017-06-07 10:38:03.371,2015-02-06 00:00:00.000,0.5941,ls_turnover
3,161456,2017-06-07 10:38:03.371,2015-02-06 00:00:00.000,0.5951,long_turnover
4,161290,2017-06-07 10:38:03.371,2015-02-06 00:00:00.000,0.5945,short_turnover
0,96998,2017-06-07 10:38:03.362,2015-02-13 00:00:00.000,0.8831,long_open
1,92920,2017-06-07 10:38:03.362,2015-02-13 00:00:00.000,0.846,short_open
2,287726,2017-06-07 10:38:03.362,2015-02-13 00:00:00.000,0.5848,ls_turnover
3,143955,2017-06-07 10:38:03.362,2015-02-13 00:00:00.000,0.5851,long_turnover
4,143771,2017-06-07 10:38:03.362,2015-02-13 00:00:00.000,0.5844,short_turnover
0,106432,2017-06-07 10:38:03.534,2015-02-20 00:00:00.000,0.8938,long_open
1,100155,2017-06-07 10:38:03.534,2015-02-20 00:00:00.000,0.8411,short_open
2,102985,2017-06-07 10:38:03.534,2015-02-20 00:00:00.000,0.5445,ls_turnover
3,51901,2017-06-07 10:38:03.534,2015-02-20 00:00:00.000,0.5488,long_turnover
4,51652,2017-06-07 10:38:03.534,2015-02-20 00:00:00.000,0.5462,short_turnover
0,101017,2017-06-07 10:38:03.674,2015-03-20 00:00:00.000,0.8663,long_open
1,98551,2017-06-07 10:38:03.674,2015-03-20 00:00:00.000,0.8451,short_open
2,302632,2017-06-07 10:38:03.674,2015-03-20 00:00:00.000,0.5681,ls_turnover
3,151944,2017-06-07 10:38:03.674,2015-03-20 00:00:00.000,0.5705,long_turnover
4,150688,2017-06-07 10:38:03.674,2015-03-20 00:00:00.000,0.5657,short_turnover
0,122061,2017-06-07 10:38:03.666,2015-03-27 00:00:00.000,0.8948,long_open
1,114245,2017-06-07 10:38:03.666,2015-03-27 00:00:00.000,0.8375,short_open
2,593164,2017-06-07 10:38:03.666,2015-03-27 00:00:00.000,0.61,ls_turnover
3,298476,2017-06-07 10:38:03.666,2015-03-27 00:00:00.000,0.6139,long_turnover
4,294688,2017-06-07 10:38:03.666,2015-03-27 00:00:00.000,0.6061,short_turnover
0,116286,2017-06-07 10:38:03.843,2015-04-17 00:00:00.000,0.817,long_open
1,120229,2017-06-07 10:38:03.843,2015-04-17 00:00:00.000,0.8447,short_open
2,419528,2017-06-07 10:38:03.843,2015-04-17 00:00:00.000,0.5799,ls_turnover
3,209360,2017-06-07 10:38:03.843,2015-04-17 00:00:00.000,0.5788,long_turnover
4,210168,2017-06-07 10:38:03.843,2015-04-17 00:00:00.000,0.5811,short_turnover
0,141967,2017-06-07 10:38:03.834,2015-04-24 00:00:00.000,0.824,long_open
1,147913,2017-06-07 10:38:03.834,2015-04-24 00:00:00.000,0.8586,short_open
2,559616,2017-06-07 10:38:03.834,2015-04-24 00:00:00.000,0.5715,ls_turnover
3,278638,2017-06-07 10:38:03.834,2015-04-24 00:00:00.000,0.5692,long_turnover
4,281062,2017-06-07 10:38:03.834,2015-04-24 00:00:00.000,0.5741,short_turnover
0,117526,2017-06-07 10:38:03.980,2015-05-15 00:00:00.000,0.7972,long_open
1,127820,2017-06-07 10:38:03.980,2015-05-15 00:00:00.000,0.867,short_open
2,341743,2017-06-07 10:38:03.980,2015-05-15 00:00:00.000,0.6089,ls_turnover
3,170807,2017-06-07 10:38:03.980,2015-05-15 00:00:00.000,0.6086,long_turnover
4,170936,2017-06-07 10:38:03.980,2015-05-15 00:00:00.000,0.6091,short_turnover
0,129444,2017-06-07 10:38:03.972,2015-05-22 00:00:00.000,0.8239,long_open
1,137358,2017-06-07 10:38:03.972,2015-05-22 00:00:00.000,0.8743,short_open
2,408256,2017-06-07 10:38:03.972,2015-05-22 00:00:00.000,0.576,ls_turnover
3,202713,2017-06-07 10:38:03.972,2015-05-22 00:00:00.000,0.572,long_turnover
4,205730,2017-06-07 10:38:03.972,2015-05-22 00:00:00.000,0.5806,short_turnover
0,111236,2017-06-07 10:38:04.117,2015-06-19 00:00:00.000,0.811,long_open
1,117131,2017-06-07 10:38:04.117,2015-06-19 00:00:00.000,0.854,short_open
2,355411,2017-06-07 10:38:04.117,2015-06-19 00:00:00.000,0.6134,ls_turnover
3,175640,2017-06-07 10:38:04.117,2015-06-19 00:00:00.000,0.6063,long_turnover
4,179771,2017-06-07 10:38:04.117,2015-06-19 00:00:00.000,0.6205,short_turnover
0,119691,2017-06-07 10:38:04.105,2015-06-26 00:00:00.000,0.8007,long_open
1,127746,2017-06-07 10:38:04.105,2015-06-26 00:00:00.000,0.8546,short_open
2,753647,2017-06-07 10:38:04.105,2015-06-26 00:00:00.000,0.6297,ls_turnover
3,375786,2017-06-07 10:38:04.105,2015-06-26 00:00:00.000,0.6279,long_turnover
4,377861,2017-06-07 10:38:04.105,2015-06-26 00:00:00.000,0.6314,short_turnover
0,91400,2017-06-07 10:38:04.252,2015-07-17 00:00:00.000,0.8301,long_open
1,93028,2017-06-07 10:38:04.252,2015-07-17 00:00:00.000,0.8449,short_open
2,360745,2017-06-07 10:38:04.252,2015-07-17 00:00:00.000,0.6232,ls_turnover
3,179050,2017-06-07 10:38:04.252,2015-07-17 00:00:00.000,0.6186,long_turnover
4,181944,2017-06-07 10:38:04.252,2015-07-17 00:00:00.000,0.6286,short_turnover
0,99399,2017-06-07 10:38:04.251,2015-07-24 00:00:00.000,0.8203,long_open
1,100631,2017-06-07 10:38:04.251,2015-07-24 00:00:00.000,0.8304,short_open
2,331445,2017-06-07 10:38:04.251,2015-07-24 00:00:00.000,0.6004,ls_turnover
3,165123,2017-06-07 10:38:04.251,2015-07-24 00:00:00.000,0.5983,long_turnover
4,166409,2017-06-07 10:38:04.251,2015-07-24 00:00:00.000,0.6029,short_turnover
0,80335,2017-06-07 10:38:04.374,2015-08-14 00:00:00.000,0.8418,long_open
1,80402,2017-06-07 10:38:04.374,2015-08-14 00:00:00.000,0.8425,short_open
2,331734,2017-06-07 10:38:04.374,2015-08-14 00:00:00.000,0.6079,ls_turnover
3,166338,2017-06-07 10:38:04.374,2015-08-14 00:00:00.000,0.6097,long_turnover
4,165750,2017-06-07 10:38:04.374,2015-08-14 00:00:00.000,0.6075,short_turnover
0,93724,2017-06-07 10:38:04.366,2015-08-21 00:00:00.000,0.8505,long_open
1,91741,2017-06-07 10:38:04.366,2015-08-21 00:00:00.000,0.8325,short_open
2,411029,2017-06-07 10:38:04.366,2015-08-21 00:00:00.000,0.6379,ls_turnover
3,203698,2017-06-07 10:38:04.366,2015-08-21 00:00:00.000,0.6322,long_turnover
4,207892,2017-06-07 10:38:04.366,2015-08-21 00:00:00.000,0.6453,short_turnover
0,86788,2017-06-07 10:38:04.505,2015-09-11 00:00:00.000,0.8359,long_open
1,88245,2017-06-07 10:38:04.505,2015-09-11 00:00:00.000,0.8499,short_open
2,501077,2017-06-07 10:38:04.505,2015-09-11 00:00:00.000,0.6241,ls_turnover
3,250085,2017-06-07 10:38:04.505,2015-09-11 00:00:00.000,0.6229,long_turnover
4,250992,2017-06-07 10:38:04.505,2015-09-11 00:00:00.000,0.6252,short_turnover
0,85361,2017-06-07 10:38:04.505,2015-09-18 00:00:00.000,0.8376,long_open
1,86477,2017-06-07 10:38:04.505,2015-09-18 00:00:00.000,0.8485,short_open
2,448119,2017-06-07 10:38:04.505,2015-09-18 00:00:00.000,0.6185,ls_turnover
3,223500,2017-06-07 10:38:04.505,2015-09-18 00:00:00.000,0.617,long_turnover
4,224757,2017-06-07 10:38:04.505,2015-09-18 00:00:00.000,0.6205,short_turnover
0,86376,2017-06-07 10:38:04.621,2015-10-09 00:00:00.000,0.8385,long_open
1,88697,2017-06-07 10:38:04.621,2015-10-09 00:00:00.000,0.861,short_open
2,548811,2017-06-07 10:38:04.621,2015-10-09 00:00:00.000,0.6188,ls_turnover
3,274498,2017-06-07 10:38:04.621,2015-10-09 00:00:00.000,0.619,long_turnover
4,274313,2017-06-07 10:38:04.621,2015-10-09 00:00:00.000,0.6186,short_turnover
0,84308,2017-06-07 10:38:04.613,2015-10-16 00:00:00.000,0.8441,long_open
1,81153,2017-06-07 10:38:04.613,2015-10-16 00:00:00.000,0.8125,short_open
2,628930,2017-06-07 10:38:04.613,2015-10-16 00:00:00.000,0.6624,ls_turnover
3,314999,2017-06-07 10:38:04.613,2015-10-16 00:00:00.000,0.6635,long_turnover
4,315746,2017-06-07 10:38:04.613,2015-10-16 00:00:00.000,0.6651,short_turnover
0,83629,2017-06-07 10:38:04.756,2015-11-06 00:00:00.000,0.8249,long_open
1,87546,2017-06-07 10:38:04.756,2015-11-06 00:00:00.000,0.8636,short_open
2,724839,2017-06-07 10:38:04.756,2015-11-06 00:00:00.000,0.6659,ls_turnover
3,363759,2017-06-07 10:38:04.756,2015-11-06 00:00:00.000,0.6684,long_turnover
4,361415,2017-06-07 10:38:04.756,2015-11-06 00:00:00.000,0.6641,short_turnover
0,89941,2017-06-07 10:38:04.756,2015-11-13 00:00:00.000,0.8282,long_open
1,94435,2017-06-07 10:38:04.756,2015-11-13 00:00:00.000,0.8696,short_open
2,805325,2017-06-07 10:38:04.756,2015-11-13 00:00:00.000,0.6647,ls_turnover
