,cash_market_turnover,created_at,datadate,exchange_participants,index_futures_turnover
0,0.5963,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,151,229357
0,0.3249,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,147,110863
0,0.1139,2017-06-07 10:38:03.371,2015-02-06 00:00:00.000,133,48863
0,0.168,2017-06-07 10:38:03.362,2015-02-13 00:00:00.000,128,57271
0,0.2104,2017-06-07 10:38:03.534,2015-02-20 00:00:00.000,116,26701
0,0.1319,2017-06-07 10:38:03.674,2015-03-20 00:00:00.000,134,61771
0,0.2888,2017-06-07 10:38:03.666,2015-03-27 00:00:00.000,136,123070
0,0.0677,2017-06-07 10:38:03.843,2015-04-17 00:00:00.000,140,76482
0,0.1794,2017-06-07 10:38:03.834,2015-04-24 00:00:00.000,139,168797
0,0.1504,2017-06-07 10:38:03.980,2015-05-15 00:00:00.000,133,101685
0,0.2523,2017-06-07 10:38:03.972,2015-05-22 00:00:00.000,133,167477
0,0.1424,2017-06-07 10:38:04.117,2015-06-19 00:00:00.000,132,86471
0,0.3869,2017-06-07 10:38:04.105,2015-06-26 00:00:00.000,133,237354
0,0.115,2017-06-07 10:38:04.252,2015-07-17 00:00:00.000,130,63729
0,0.2161,2017-06-07 10:38:04.251,2015-07-24 00:00:00.000,128,87690
0,0.0979,2017-06-07 10:38:04.374,2015-08-14 00:00:00.000,130,42132
0,0.1938,2017-06-07 10:38:04.366,2015-08-21 00:00:00.000,138,89475
0,0.1714,2017-06-07 10:38:04.505,2015-09-11 00:00:00.000,137,74029
0,0.1951,2017-06-07 10:38:04.505,2015-09-18 00:00:00.000,131,78410
0,0.2525,2017-06-07 10:38:04.621,2015-10-09 00:00:00.000,137,113572
0,0.243,2017-06-07 10:38:04.613,2015-10-16 00:00:00.000,140,101612
0,0.2726,2017-06-07 10:38:04.756,2015-11-06 00:00:00.000,138,108998
0,0.3556,2017-06-07 10:38:04.756,2015-11-13 00:00:00.000,136,140910
0,0.3532,2017-06-07 10:38:04.997,2015-12-11 00:00:00.000,139,121995
0,0.3609,2017-06-07 10:38:04.989,2015-12-18 00:00:00.000,139,131392
0,1.0176,2017-06-07 10:38:05.134,2014-02-07 00:00:00.000,137,266469
0,0.9833,2017-06-07 10:38:05.117,2014-02-14 00:00:00.000,141,315951
0,0.8886,2017-06-07 10:38:05.248,2014-08-15 00:00:00.000,138,317027
0,1.003,2017-06-07 10:38:05.242,2014-08-22 00:00:00.000,140,352655
0,0.8736,2017-06-07 10:38:05.387,2014-09-12 00:00:00.000,139,234336
0,0.8672,2017-06-07 10:38:05.387,2014-09-19 00:00:00.000,135,317604
0,1.2255,2017-06-07 10:38:05.488,2014-10-17 00:00:00.000,140,409030
0,1.4376,2017-06-07 10:38:05.480,2014-10-24 00:00:00.000,140,384943
0,0.3966,2017-06-07 10:38:05.652,2014-11-14 00:00:00.000,136,166127
0,1.0336,2017-06-07 10:38:05.634,2014-11-21 00:00:00.000,138,366852
0,0.5104,2017-06-07 10:38:05.787,2014-12-19 00:00:00.000,139,236322
0,0.295,2017-06-07 10:38:05.779,2014-12-26 00:00:00.000,130,64521
0,0.2142,2017-06-07 10:38:05.922,2017-02-17 00:00:00.000,142,103068
