,created_at,datadate,participant,type,value
0,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,1,long_open,0.1386
1,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,1,short_open,0.1169
2,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,1,ls_turnover,0.114
3,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,1,long_turnover,0.1139
4,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,1,short_turnover,0.1141
5,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,2,long_open,0.1335
6,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,2,short_open,0.1003
7,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,2,ls_turnover,0.1124
8,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,2,long_turnover,0.1107
9,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,2,short_turnover,0.1141
10,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,3,long_open,0.1236
11,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,3,short_open,0.0856
12,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,3,ls_turnover,0.0954
13,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,3,long_turnover,0.0948
14,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,3,short_turnover,0.0961
15,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,4,long_open,0.1072
16,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,4,short_open,0.0835
17,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,4,ls_turnover,0.0724
18,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,4,long_turnover,0.0737
19,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,4,short_turnover,0.0712
20,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,5,long_open,0.0933
21,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,5,short_open,0.0814
22,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,5,ls_turnover,0.0513
23,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,5,long_turnover,0.0509
24,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,5,short_turnover,0.0516
25,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,6,long_open,0.0782
26,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,6,short_open,0.0798
27,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,6,ls_turnover,0.0457
28,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,6,long_turnover,0.0462
29,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,6,short_turnover,0.0451
30,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,7,long_open,0.0761
31,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,7,short_open,0.0766
32,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,7,ls_turnover,0.0382
33,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,7,long_turnover,0.0378
34,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,7,short_turnover,0.0386
35,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,8,long_open,0.0744
36,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,8,short_open,0.0715
37,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,8,ls_turnover,0.0367
38,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,8,long_turnover,0.0364
39,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,8,short_turnover,0.037
40,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,9,long_open,0.0682
41,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,9,short_open,0.054
42,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,9,ls_turnover,0.0307
43,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,9,long_turnover,0.0311
44,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,9,short_turnover,0.0304
45,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,10,long_open,0.025
46,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,10,short_open,0.0466
47,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,10,ls_turnover,0.0305
48,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,10,long_turnover,0.0306
49,2017-06-07 10:38:03.251,2017-05-26 00:00:00.000,10,short_turnover,0.0303
0,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,1,long_open,0.1499
1,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,1,short_open,0.1062
2,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,1,ls_turnover,0.196
3,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,1,long_turnover,0.1965
4,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,1,short_turnover,0.1955
5,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,2,long_open,0.1392
6,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,2,short_open,0.1005
7,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,2,ls_turnover,0.1428
8,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,2,long_turnover,0.1409
9,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,2,short_turnover,0.1447
10,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,3,long_open,0.0998
11,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,3,short_open,0.0991
12,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,3,ls_turnover,0.0647
13,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,3,long_turnover,0.0743
14,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,3,short_turnover,0.0551
15,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,4,long_open,0.0994
16,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,4,short_open,0.0912
17,2017-06-07 10:38:03.251,2017-06-02 00:00:00.000,4,ls_turnover,0.052
